season_year,team_num,net_score_09,net_score_10,net_score_11,net_score_12,net_score_13,net_score_14,net_score_15,net_score_16,num_blinds_09,num_blinds_10,num_blinds_11,num_blinds_12,num_blinds_13,num_blinds_14,num_blinds_15,num_blinds_16,rank_09,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,session_net_sum,session_blinds_sum,session_rank_sum
2020.0,1.0,166.0,139.5,146.0,147.0,145.5,160.0,162.5,160.5,0,0,0,0,0,0,0,0,5.0,3.0,4.0,4.0,2.0,4.0,5.0,5.0,1227.0,0,32.0
2020.0,2.0,134.0,137.0,147.5,136.5,142.5,128.5,144.5,150.0,0,0,1,0,0,0,0,1,1.0,2.0,5.0,1.0,1.0,1.0,1.0,3.0,1120.5,2,15.0
2020.0,3.0,136.5,145.0,142.0,143.5,157.5,130.0,150.0,144.0,0,0,0,0,0,0,0,1,2.0,4.0,1.5,3.0,5.0,2.0,3.0,2.0,1148.5,1,22.5
2020.0,4.0,163.0,162.0,142.0,170.0,151.0,143.0,153.0,159.0,0,1,0,0,0,0,0,0,4.0,5.0,1.5,5.0,4.0,3.0,4.0,4.0,1243.0,1,30.5
2020.0,5.0,150.0,136.0,144.5,138.0,149.5,161.0,146.5,139.5,0,0,0,0,0,1,1,0,3.0,1.0,3.0,2.0,3.0,5.0,2.0,1.0,1165.0,2,20.0
2021.0,1.0,0.0,145.5,160.0,155.0,152.0,155.5,159.5,147.5,4,0,1,0,0,0,0,0,5.5,4.0,9.0,8.0,7.5,5.5,9.0,7.0,1075.0,5,55.5
2021.0,2.0,0.0,143.0,145.0,138.0,132.5,144.0,145.5,130.5,4,0,0,0,0,0,0,0,5.5,3.0,4.0,2.0,1.0,2.0,4.0,1.0,978.5,4,22.5
2021.0,3.0,0.0,146.5,142.5,149.0,149.0,147.0,142.5,138.5,4,0,0,0,0,0,0,0,5.5,5.0,2.5,5.0,5.5,4.0,2.0,2.0,1015.0,4,31.5
2021.0,4.0,0.0,157.0,142.5,152.5,143.5,155.5,143.0,139.0,4,0,0,0,0,0,0,0,5.5,8.0,2.5,7.0,3.0,5.5,3.0,3.0,1033.0,4,37.5
2021.0,5.0,0.0,140.0,141.0,144.5,133.5,142.5,140.0,143.5,4,0,0,0,0,0,0,0,5.5,2.0,1.0,3.0,2.0,1.0,1.0,6.0,985.0,4,21.5
2021.0,6.0,0.0,156.0,150.5,163.5,163.0,146.5,153.0,140.0,4,0,0,0,0,0,0,0,5.5,7.0,7.0,10.0,10.0,3.0,8.0,4.0,1072.5,4,54.5
2021.0,7.0,0.0,136.6,149.0,137.6,154.5,164.5,151.0,141.5,4,0,0,0,1,1,0,0,5.5,1.0,5.0,1.0,9.0,7.0,7.0,5.0,1034.7,6,40.5
2021.0,8.0,0.0,159.5,157.0,152.0,149.0,167.6,149.5,152.0,4,0,0,0,0,1,0,0,5.5,9.0,8.0,6.0,5.5,8.0,6.0,8.0,1086.6,5,56.0
2021.0,9.0,0.0,162.5,150.0,162.0,152.0,169.0,149.0,165.5,4,0,0,1,0,0,0,1,5.5,10.0,6.0,9.0,7.5,10.0,5.0,9.0,1110.0,6,62.0
2021.0,10.0,0.0,151.0,164.5,146.5,144.0,168.0,178.5,175.0,4,0,0,1,0,0,0,1,5.5,6.0,10.0,4.0,4.0,9.0,10.0,10.0,1127.5,6,58.5
2022.0,1.0,163.5,165.5,143.5,141.0,0.0,151.5,158.0,0.0,1,0,0,0,4,0,1,4,7.0,6.0,4.0,5.0,4.5,6.0,6.0,4.5,923.0,10,43.0
2022.0,2.0,145.0,145.6,135.0,142.0,0.0,150.1,141.5,0.0,0,0,0,0,4,0,0,4,4.0,1.0,2.0,6.0,4.5,5.0,3.0,4.5,859.2,8,30.0
2022.0,3.0,130.0,148.0,134.0,132.0,0.0,144.0,135.0,0.0,0,0,0,0,4,0,0,4,2.0,2.0,1.0,1.0,4.5,4.0,1.0,4.5,823.0,8,20.0
2022.0,4.0,164.0,149.6,140.5,156.5,0.0,138.0,167.5,0.0,0,0,0,0,4,0,2,4,8.0,3.0,3.0,7.0,4.5,1.0,7.0,4.5,916.1,10,38.0
2022.0,5.0,148.5,178.5,153.0,137.0,0.0,141.0,136.0,0.0,0,1,0,0,4,0,0,4,5.0,8.0,6.0,3.0,4.5,3.0,2.0,4.5,894.0,9,36.0
2022.0,6.0,159.0,154.5,162.5,135.0,0.0,166.0,153.0,0.0,1,1,0,0,4,2,0,4,6.0,4.0,8.0,2.0,4.5,8.0,5.0,4.5,930.0,12,42.0
2022.0,7.0,127.0,175.0,159.5,170.5,0.0,160.0,144.5,0.0,0,0,0,2,4,0,0,4,1.0,7.0,7.0,8.0,4.5,7.0,4.0,4.5,936.5,10,43.0
2022.0,8.0,132.5,158.0,148.0,140.5,0.0,138.5,175.5,0.0,0,1,0,0,4,0,3,4,3.0,5.0,5.0,4.0,4.5,2.0,8.0,4.5,893.0,12,36.0
2023.0,1.0,170.5,156.0,144.5,146.0,151.0,156.5,148.0,0.0,0,0,0,0,0,0,0,4,8.0,7.0,5.0,6.0,6.0,6.0,2.0,7.5,1072.5,4,47.5
2023.0,2.0,151.5,139.0,140.0,136.0,146.5,139.5,160.5,147.5,0,0,0,0,0,0,1,1,5.0,2.0,3.0,2.5,3.0,2.0,7.0,2.0,1160.5,2,26.5
2023.0,3.0,142.5,142.5,137.5,136.0,148.5,134.0,154.5,140.0,0,0,0,0,0,0,0,0,3.0,5.0,2.0,2.5,5.0,1.0,5.0,1.0,1135.5,0,24.5
2023.0,4.0,138.8,172.5,167.5,144.5,152.5,148.5,205.5,159.5,0,1,2,0,0,0,2,2,2.0,8.0,8.0,5.0,7.0,4.5,8.0,4.0,1289.3,7,46.5
2023.0,5.0,152.5,135.5,152.0,141.5,141.5,148.5,149.5,163.0,0,0,0,0,0,0,0,2,6.0,1.0,6.0,4.0,2.0,4.5,3.0,5.0,1184.0,2,31.5
2023.0,6.0,144.0,150.0,157.0,153.0,176.0,161.5,160.0,163.5,0,0,0,0,1,1,0,1,4.0,6.0,7.0,7.0,8.0,8.0,6.0,6.0,1265.0,3,52.0
2023.0,7.0,153.5,140.3,143.5,155.0,147.5,159.0,150.5,0.0,0,0,0,0,0,1,0,4,7.0,4.0,4.0,8.0,4.0,7.0,4.0,7.5,1049.3,5,45.5
