season_year,team_num,net_score_17,num_blinds_17,rank_17,session_net_sum,session_blinds_sum,session_rank_sum
2021.0,1.0,0.0,4,6.5,0.0,4,6.5
2021.0,2.0,0.0,4,6.5,0.0,4,6.5
2021.0,3.0,146.0,0,1.5,146.0,0,1.5
2021.0,4.0,0.0,4,6.5,0.0,4,6.5
2021.0,5.0,146.0,0,1.5,146.0,0,1.5
2021.0,6.0,0.0,4,6.5,0.0,4,6.5
2021.0,7.0,0.0,4,6.5,0.0,4,6.5
2021.0,8.0,0.0,4,6.5,0.0,4,6.5
2021.0,9.0,0.0,4,6.5,0.0,4,6.5
2021.0,10.0,0.0,4,6.5,0.0,4,6.5
2022.0,1.0,143.0,0,5.0,143.0,0,5.0
2022.0,2.0,139.0,0,4.0,139.0,0,4.0
2022.0,3.0,138.5,0,3.0,138.5,0,3.0
2022.0,4.0,162.0,1,6.0,162.0,1,6.0
2022.0,5.0,136.0,0,2.0,136.0,0,2.0
2022.0,6.0,164.5,2,7.0,164.5,2,7.0
2022.0,7.0,166.0,0,8.0,166.0,0,8.0
2022.0,8.0,132.0,0,1.0,132.0,0,1.0
2023.0,1.0,0.0,4,5.5,0.0,4,5.5
2023.0,2.0,132.5,0,2.0,132.5,0,2.0
2023.0,3.0,0.0,4,5.5,0.0,4,5.5
2023.0,4.0,0.0,4,5.5,0.0,4,5.5
2023.0,5.0,0.0,4,5.5,0.0,4,5.5
2023.0,6.0,0.0,4,5.5,0.0,4,5.5
2023.0,7.0,0.0,4,5.5,0.0,4,5.5
2023.0,8.0,132.0,0,1.0,132.0,0,1.0
2024.0,1.0,0.0,4,5.5,0.0,4,5.5
2024.0,2.0,136.5,0,1.0,136.5,0,1.0
2024.0,3.0,0.0,4,5.5,0.0,4,5.5
2024.0,4.0,0.0,4,5.5,0.0,4,5.5
2024.0,5.0,0.0,4,5.5,0.0,4,5.5
2024.0,6.0,0.0,4,5.5,0.0,4,5.5
2024.0,7.0,0.0,4,5.5,0.0,4,5.5
2024.0,8.0,140.0,0,2.0,140.0,0,2.0
2025.0,1.0,166.5,0,7.0,166.5,0,7.0
2025.0,2.0,145.5,0,3.0,145.5,0,3.0
2025.0,3.0,155.5,0,5.0,155.5,0,5.0
2025.0,4.0,132.5,0,1.0,132.5,0,1.0
2025.0,5.0,177.5,0,8.0,177.5,0,8.0
2025.0,6.0,153.0,0,4.0,153.0,0,4.0
2025.0,7.0,156.5,0,6.0,156.5,0,6.0
2025.0,8.0,143.5,0,2.0,143.5,0,2.0
